question,choices,correct,type,accuracy
blue,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_5.jpg'],0,1
green,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']","['takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_9.jpg']",0,1
pink,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_1.jpg'],0,0
purple,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_3.jpg'],0,0
purple,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_6.jpg'],0,0
yellow,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_2.jpg'],0,1
blue,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_10.jpg'],0,0
green,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_8.jpg'],0,0
purple,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_7.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_3.jpg'],0,0
pink,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_7.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_1.jpg'],0,0
green,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_7.jpg', 'theater_seats_rot_s_9.jpg']","['theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']",0,1
orange,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_7.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_7.jpg'],0,0
yellow,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_7.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_9.jpg'],0,0
pink,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']",['gloves_rot_s_8.jpg'],0,0
red,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']",['gloves_rot_s_10.jpg'],0,0
brown,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']",['gloves_rot_s_10.jpg'],0,0
blue,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']","['gloves_rot_s_2.jpg', 'gloves_rot_s_4.jpg']",0,0
green,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']",['gloves_rot_s_6.jpg'],0,1
red,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']",['sponge_rot_s_6.jpg'],0,0
pink,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']",['sponge_rot_s_6.jpg'],0,0
green,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']","['sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg']",0,1
purple,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']",['sponge_rot_s_10.jpg'],0,0
blue,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']",['sponge_rot_s_8.jpg'],0,0
pink,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_3.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']",['pail_rot_s_5.jpg'],0,0
green,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_3.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']","['pail_rot_s_7.jpg', 'pail_rot_s_1.jpg']",0,1
orange,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_3.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']",['pail_rot_s_3.jpg'],0,0
yellow,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_3.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']",['pail_rot_s_1.jpg'],0,1
blue,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_3.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']",['pail_rot_s_9.jpg'],0,0
blue,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']",['notebook_rot_s_8.jpg'],0,1
purple,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']",['notebook_rot_s_10.jpg'],0,0
green,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']","['notebook_rot_s_2.jpg', 'notebook_rot_s_4.jpg']",0,1
red,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']",['notebook_rot_s_6.jpg'],0,0
red,"['razor_rot_s_1.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']",['razor_rot_s_1.jpg'],0,1
yellow,"['razor_rot_s_1.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']",['razor_rot_s_7.jpg'],0,0
green,"['razor_rot_s_1.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']","['razor_rot_s_7.jpg', 'razor_rot_s_9.jpg']",0,1
blue,"['razor_rot_s_1.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']",['razor_rot_s_5.jpg'],0,0
purple,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']",['notebook_rot_s_9.jpg'],0,1
green,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']","['notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg']",0,1
blue,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']",['notebook_rot_s_7.jpg'],0,0
red,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']",['notebook_rot_s_5.jpg'],0,0
orange,"['pail_rot_s_4.jpg', 'pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']",['pail_rot_s_4.jpg'],0,0
pink,"['pail_rot_s_4.jpg', 'pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']",['pail_rot_s_6.jpg'],0,0
yellow,"['pail_rot_s_4.jpg', 'pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']",['pail_rot_s_2.jpg'],0,0
green,"['pail_rot_s_4.jpg', 'pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']","['pail_rot_s_2.jpg', 'pail_rot_s_8.jpg']",0,0
blue,"['pail_rot_s_4.jpg', 'pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']",['pail_rot_s_10.jpg'],0,0
blue,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']",['sponge_rot_s_7.jpg'],0,0
red,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']",['sponge_rot_s_5.jpg'],0,0
pink,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']",['sponge_rot_s_5.jpg'],0,0
green,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']","['sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg']",0,0
purple,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']",['sponge_rot_s_9.jpg'],0,1
brown,"['gloves_rot_s_9.jpg', 'gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg', 'gloves_rot_s_7.jpg', 'gloves_rot_s_5.jpg']",['gloves_rot_s_9.jpg'],0,1
blue,"['gloves_rot_s_9.jpg', 'gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg', 'gloves_rot_s_7.jpg', 'gloves_rot_s_5.jpg']","['gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg']",0,1
pink,"['gloves_rot_s_9.jpg', 'gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg', 'gloves_rot_s_7.jpg', 'gloves_rot_s_5.jpg']",['gloves_rot_s_7.jpg'],0,0
green,"['gloves_rot_s_9.jpg', 'gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg', 'gloves_rot_s_7.jpg', 'gloves_rot_s_5.jpg']",['gloves_rot_s_5.jpg'],0,0
pink,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_8.jpg', 'theater_seats_rot_s_10.jpg']",['theater_seats_rot_s_2.jpg'],0,0
purple,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_8.jpg', 'theater_seats_rot_s_10.jpg']",['theater_seats_rot_s_4.jpg'],0,0
green,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_8.jpg', 'theater_seats_rot_s_10.jpg']","['theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_10.jpg']",0,0
orange,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_8.jpg', 'theater_seats_rot_s_10.jpg']",['theater_seats_rot_s_8.jpg'],0,0
yellow,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_8.jpg', 'theater_seats_rot_s_10.jpg']",['theater_seats_rot_s_10.jpg'],0,0
green,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']","['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg']",0,1
yellow,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_3.jpg'],0,0
blue,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_7.jpg'],0,1
red,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_5.jpg'],0,0
pink,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_5.jpg'],0,0
purple,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_9.jpg'],0,0
green,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_7.jpg'],0,0
purple,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_5.jpg'],0,0
yellow,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_1.jpg'],0,0
blue,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_9.jpg'],0,0
blue,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_6.jpg'],0,1
green,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']","['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_10.jpg']",0,1
purple,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_4.jpg'],0,0
pink,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_2.jpg'],0,0
yellow,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_8.jpg'],0,0
orange,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_8.jpg'],0,0
pink,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_3.jpg'],0,0
red,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_1.jpg'],0,0
blue,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_5.jpg'],0,0
yellow,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_7.jpg'],0,0
green,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_9.jpg'],0,0
green,"['container_open_rot_s_9.jpg', 'container_open_rot_s_1.jpg', 'container_open_rot_s_3.jpg', 'container_open_rot_s_7.jpg', 'container_open_rot_s_5.jpg']",['container_open_rot_s_9.jpg'],0,0
pink,"['container_open_rot_s_9.jpg', 'container_open_rot_s_1.jpg', 'container_open_rot_s_3.jpg', 'container_open_rot_s_7.jpg', 'container_open_rot_s_5.jpg']","['container_open_rot_s_1.jpg', 'container_open_rot_s_3.jpg']",0,0
yellow,"['container_open_rot_s_9.jpg', 'container_open_rot_s_1.jpg', 'container_open_rot_s_3.jpg', 'container_open_rot_s_7.jpg', 'container_open_rot_s_5.jpg']",['container_open_rot_s_7.jpg'],0,0
blue,"['container_open_rot_s_9.jpg', 'container_open_rot_s_1.jpg', 'container_open_rot_s_3.jpg', 'container_open_rot_s_7.jpg', 'container_open_rot_s_5.jpg']",['container_open_rot_s_5.jpg'],0,0
yellow,"['truck_rot_s_4.jpg', 'truck_rot_s_2.jpg', 'truck_rot_s_10.jpg', 'truck_rot_s_8.jpg']",['truck_rot_s_4.jpg'],0,0
green,"['truck_rot_s_4.jpg', 'truck_rot_s_2.jpg', 'truck_rot_s_10.jpg', 'truck_rot_s_8.jpg']",['truck_rot_s_2.jpg'],0,0
blue,"['truck_rot_s_4.jpg', 'truck_rot_s_2.jpg', 'truck_rot_s_10.jpg', 'truck_rot_s_8.jpg']","['truck_rot_s_10.jpg', 'truck_rot_s_8.jpg']",0,0
red,"['valve_rot_s_7.jpg', 'valve_rot_s_5.jpg', 'valve_rot_s_1.jpg', 'valve_rot_s_3.jpg']",['valve_rot_s_7.jpg'],0,0
pink,"['valve_rot_s_7.jpg', 'valve_rot_s_5.jpg', 'valve_rot_s_1.jpg', 'valve_rot_s_3.jpg']",['valve_rot_s_7.jpg'],0,0
green,"['valve_rot_s_7.jpg', 'valve_rot_s_5.jpg', 'valve_rot_s_1.jpg', 'valve_rot_s_3.jpg']",['valve_rot_s_5.jpg'],0,1
blue,"['valve_rot_s_7.jpg', 'valve_rot_s_5.jpg', 'valve_rot_s_1.jpg', 'valve_rot_s_3.jpg']","['valve_rot_s_1.jpg', 'valve_rot_s_3.jpg']",0,0
purple,"['tape_dispenser_rot_s_1.jpg', 'tape_dispenser_rot_s_7.jpg', 'tape_dispenser_rot_s_5.jpg', 'tape_dispenser_rot_s_9.jpg']",['tape_dispenser_rot_s_1.jpg'],0,1
brown,"['tape_dispenser_rot_s_1.jpg', 'tape_dispenser_rot_s_7.jpg', 'tape_dispenser_rot_s_5.jpg', 'tape_dispenser_rot_s_9.jpg']",['tape_dispenser_rot_s_7.jpg'],0,0
green,"['tape_dispenser_rot_s_1.jpg', 'tape_dispenser_rot_s_7.jpg', 'tape_dispenser_rot_s_5.jpg', 'tape_dispenser_rot_s_9.jpg']","['tape_dispenser_rot_s_5.jpg', 'tape_dispenser_rot_s_9.jpg']",0,0
blue,"['sugar_bowl_rot_s_10.jpg', 'sugar_bowl_rot_s_8.jpg', 'sugar_bowl_rot_s_6.jpg', 'sugar_bowl_rot_s_4.jpg', 'sugar_bowl_rot_s_2.jpg']","['sugar_bowl_rot_s_10.jpg', 'sugar_bowl_rot_s_8.jpg']",0,0
red,"['sugar_bowl_rot_s_10.jpg', 'sugar_bowl_rot_s_8.jpg', 'sugar_bowl_rot_s_6.jpg', 'sugar_bowl_rot_s_4.jpg', 'sugar_bowl_rot_s_2.jpg']",['sugar_bowl_rot_s_6.jpg'],0,0
pink,"['sugar_bowl_rot_s_10.jpg', 'sugar_bowl_rot_s_8.jpg', 'sugar_bowl_rot_s_6.jpg', 'sugar_bowl_rot_s_4.jpg', 'sugar_bowl_rot_s_2.jpg']",['sugar_bowl_rot_s_6.jpg'],0,1
yellow,"['sugar_bowl_rot_s_10.jpg', 'sugar_bowl_rot_s_8.jpg', 'sugar_bowl_rot_s_6.jpg', 'sugar_bowl_rot_s_4.jpg', 'sugar_bowl_rot_s_2.jpg']",['sugar_bowl_rot_s_4.jpg'],0,0
